SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,AI/ML,Mobile,DevOps,Programming,Blockchain/Web3,Testing/QA,Design,Hardware/IoT/Maker,GIS/Mapping,CivicTech,FinTech/DeFi,EdTech,Telecom/5G,DevLifestyle,Multimedia/CreativeTech,MyData/PersonalData,Culture/Localization,Legal/Policy,SessionCount
VWYRPT,2021,56,78,64,61,76,58,64,72,62,58,61,58,64,59,65,57,68,59,60,65,70,62,61,64,64,61,64,71,56,65,212
VAXMYS,2021,58,55,60,52,62,55,57,55,66,55,54,61,60,59,59,54,58,52,53,59,66,57,58,58,62,53,54,57,64,55,212
J3LK3X,2021,59,58,57,65,58,58,51,64,57,54,60,60,52,54,59,54,54,59,58,58,60,56,53,56,57,59,54,54,52,52,212
UACGSJ,2021,70,61,65,67,64,61,62,61,72,66,66,70,67,67,67,62,62,63,63,66,68,71,65,82,67,70,64,56,71,62,212
39QGA3,2021,57,58,51,59,50,56,55,54,58,57,59,57,60,58,56,59,51,49,65,56,59,54,57,58,61,60,56,54,58,51,212
JRANH8,2021,59,67,63,57,68,62,66,59,69,58,53,53,61,62,61,64,63,55,59,65,79,60,56,66,63,58,58,61,64,63,212
ED7M9S,2021,61,60,59,65,74,59,64,69,63,64,61,55,69,65,63,61,71,58,60,66,61,62,60,62,65,64,69,61,65,62,212
GHA7PC,2021,64,57,55,63,55,57,60,57,53,53,59,60,62,58,67,65,58,66,63,61,53,55,61,58,60,67,63,54,56,56,212
8UTNUP,2021,70,67,62,70,68,63,58,67,72,67,70,65,63,62,69,58,66,59,68,70,65,69,62,65,68,70,70,65,66,65,212
3R3RED,2021,57,54,53,60,48,61,56,56,55,53,54,55,59,57,58,66,50,58,59,56,54,54,52,65,56,58,55,52,60,54,212
ZYEQVH,2021,67,64,65,73,68,57,65,66,65,58,65,67,73,67,69,69,66,67,68,76,62,66,63,73,69,70,72,56,63,64,212
FAABYX,2021,65,65,64,66,68,54,58,59,72,66,64,63,63,67,67,56,66,56,60,66,69,71,60,68,66,66,70,68,77,60,212
TUKRDL,2021,67,63,65,70,60,58,55,58,64,60,61,68,65,67,66,65,60,61,59,72,58,68,62,73,69,68,67,60,66,59,212
F9JQLB,2021,56,59,56,61,58,55,59,61,60,55,57,55,63,57,63,69,56,64,63,63,55,62,55,60,53,58,58,55,55,61,212
ECVTST,2021,72,70,65,61,65,52,53,57,66,57,61,71,64,58,61,58,62,60,61,65,66,66,62,75,65,66,63,62,68,61,212
DC8ZGM,2021,56,58,58,62,65,58,58,61,63,63,63,59,63,58,64,53,72,57,61,68,55,56,61,59,62,60,64,64,55,65,212
7PN7ST,2021,59,71,61,66,64,58,64,65,59,59,60,60,64,61,80,66,67,71,64,68,62,61,63,62,62,63,59,62,53,62,212
F9P7N3,2021,62,61,70,62,69,58,70,63,59,50,63,60,60,63,72,62,68,65,65,73,59,59,64,56,64,66,56,60,55,62,212
WAXETX,2021,65,66,66,67,71,65,70,69,82,73,70,64,63,63,72,63,66,59,67,75,63,69,66,68,68,71,64,58,66,73,212
3WAUDK,2021,62,63,57,66,60,64,62,62,76,62,60,61,61,64,65,65,53,62,67,67,65,59,55,66,59,71,62,57,59,65,212
YCSPKH,2021,56,61,61,58,62,55,55,54,63,54,57,56,59,56,57,51,60,50,53,61,70,63,55,61,54,60,61,62,64,58,212
37EHDJ,2021,66,67,68,70,73,59,67,70,72,64,67,67,67,69,77,63,76,62,68,80,64,71,71,67,73,67,72,67,66,73,212
FMJEUL,2022,63,62,66,58,63,54,65,59,58,56,63,63,59,57,71,60,64,64,61,66,61,59,65,59,63,66,55,61,54,64,295
7Y7LDP,2022,65,59,66,65,65,70,65,61,68,65,61,63,69,67,62,57,68,56,60,65,59,72,62,66,67,64,67,62,65,57,295
3SZCHW,2022,65,59,59,66,67,55,65,67,55,54,63,60,61,65,69,65,63,67,67,69,60,59,60,59,67,66,59,53,57,59,295
GKDWQF,2022,70,67,65,68,66,63,62,65,80,70,70,66,65,66,70,62,63,60,63,75,65,71,65,75,68,76,68,61,71,72,295
RBYZHK,2022,61,62,53,67,68,58,68,68,55,53,59,58,54,62,62,61,65,65,61,63,61,56,60,58,63,58,57,60,50,57,295
AVAXSJ,2022,72,54,55,58,55,51,52,59,61,53,57,60,55,54,54,54,53,53,54,56,53,59,52,59,55,56,59,50,56,56,295
C7K7QH,2022,62,59,58,61,63,65,66,59,58,53,61,61,66,63,65,60,57,59,70,68,62,59,58,58,62,63,61,55,57,53,295
