_SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,SessionCount
H9LKNE,2020,64,58,57,63,62,60,58,58,70,61,60,58,256
7MUPHM,2020,66,59,56,60,61,58,59,56,64,56,60,57,256
GN9XAP,2020,72,60,60,63,64,60,59,60,68,62,62,59,256
9PFPRQ,2020,61,67,64,58,58,55,62,57,58,55,61,54,256
CJXYY3,2020,61,61,57,59,57,60,58,55,62,57,60,58,256
HLEXAD,2020,70,60,55,64,59,61,61,58,60,56,61,56,256
D7LFPT,2020,63,61,58,57,59,57,57,56,66,60,61,61,256
PBHQLB,2020,65,58,61,62,60,60,57,57,73,62,60,67,256
YDAMMM,2020,64,61,58,62,68,63,64,59,61,59,62,59,256
UCFXXK,2020,68,63,55,68,65,65,66,66,65,63,67,57,256
SPJHSW,2020,64,56,59,57,64,55,60,57,58,55,63,58,256
WDZBBJ,2020,65,60,59,62,60,57,58,56,66,60,60,60,256
EL8MH8,2020,63,63,62,64,63,65,64,59,61,59,62,59,256
LJZQPK,2020,65,60,60,67,66,65,63,59,65,60,65,57,256
PKQM3Z,2020,67,62,58,72,66,70,63,66,66,64,68,58,256
UU9RBU,2020,71,59,62,62,64,66,60,58,66,61,61,62,256
S3RCK8,2020,69,58,56,64,64,62,59,60,66,59,63,57,256
MWJV8E,2020,69,59,59,63,63,58,56,59,65,60,62,58,256
BDMBTC,2020,58,55,55,56,54,56,54,53,59,56,56,65,256
8ZMKXG,2020,60,56,54,60,58,60,57,56,68,59,60,57,256
39NJVW,2020,70,59,58,63,64,61,60,61,71,64,64,56,256
BFCXL9,2020,66,63,56,66,65,64,65,65,62,59,67,57,256
H9NLCQ,2020,59,65,57,62,63,57,70,57,64,57,62,58,256
KY8LHR,2020,60,60,53,59,56,58,57,57,60,54,56,57,256
CFSTWL,2020,66,59,55,60,62,57,57,56,63,59,58,58,256
NWRZXN,2020,62,58,61,64,57,58,59,61,66,60,59,57,256
CYNSHB,2020,68,67,60,59,63,59,63,53,60,58,64,56,256
8BDZMQ,2020,61,59,59,58,59,59,57,55,62,61,59,60,256
3CWNNS,2020,63,64,54,65,64,63,65,60,67,61,64,56,256
